pid,year,obs,population,population_density,pre_season_rate,last_post_rate,last_high_rate,sus_pct,mean_temp_grid,total_rain_grid,Jan_temp_grid,Feb_temp_grid,Mar_temp_grid,Jan_rain_grid,Feb_rain_grid,Mar_rain_grid,max_humid_ncdc,min_humid_ncdc,Jan_humid_ncdc,Feb_humid_ncdc,Mar_humid_ncdc,max_temp_ncdc,min_temp_ncdc,Jan_temp_ncdc,Feb_temp_ncdc,Mar_temp_ncdc
TH39,2011,364,1419419,930.156618610747,4.14422818271073,4.5209761993208,24.3379218730103,188.495829691089,27.7249984741211,294.560733186081,28.3874908447266,27.2425018310547,29.5325027465821,39.9223048686982,89.7753458023072,153.333822727203,86.1192052980132,53.2675496688742,82.5096774193548,93.1785714285714,90.0935483870968,31.4337748344371,23.6013245033113,31.1129032258065,32.7178571428571,30.4483870967742
TH39,2012,179,1518106,994.826998689384,1.40902721465614,1.83173537905298,23.8125599276887,194.241969484157,28.9289962768555,203.146309107542,28.9324890136719,30.2474990844727,31.229997253418,38.2782229185105,45.5877103805542,77.0337772369384,NA,NA,88.3612903225806,92.848275862069,91.5225806451613,NA,NA,31.7032258064516,33.4034482758621,34.7967741935484
TH39,2013,447,1623654,1063.99344692005,9.94660451905203,4.1499078456972,7.64110016033136,205.507483214118,29.4519973754883,178.638391733169,29.4024978637696,30.4124923706055,31.2375045776367,13.114274263382,31.6580410003662,96.3024876117705,90.1576158940397,53.1933774834437,89.1354838709677,90.1392857142857,91.0935483870968,33.5582781456954,24.9331125827815,32.2548387096774,34.2071428571429,35.4709677419355
TH39,2014,175,1736540,1137.96854521625,1.41655796124051,2.58675801617832,24.9437380131481,NA,27.6755020141602,128.313969490118,27.8150039672852,29.9375015258789,31.0974975585938,11.7873760461807,35.8800168037416,75.3565578460692,90.6384105960265,52.1390728476821,87.658064516129,95.175,96.0290322580645,31.9602649006623,22.6132450331126,30.6387096774194,32.6964285714286,34.8806451612903
TH40,2000,4164,6355144,4050.44231994901,7.28950400747262,7.1937993596721,50.2608908699042,137.546897397473,27.8179992675781,315.747568145394,27.9299865722656,29.6799865722656,29.4900146484375,36.7223559617997,37.7166374921798,224.600672721863,80.7618421052632,49.5414473684211,81.2838709677419,84.1206896551724,85.1129032258064,31.6164473684211,24.2901315789474,32.2064516129032,32.7620689655172,33.6193548387097
TH40,2001,12117,6527517,4160.30401529637,38.7245355888081,19.8264586923601,45.695266700487,134.446182233079,29.0339965820313,225.480092450976,28.8099914550781,28.7600036621094,31.339990234375,8.14050775766371,140.80756187439,52.9952894449234,82.7927152317881,50.8185430463576,83.4677419354839,84.7285714285714,89.8838709677419,32.4701986754967,25.4298013245033,32.4806451612903,33.1857142857143,32.5645161290323
TH40,2002,6473,6704564,4273.14467813894,26.1967912147912,29.1381853161011,156.491358046253,-12.6359581070168,28.8760070800781,161.050730749965,28.9999938964844,29.8300109863281,31.0800109863281,20.3770315647125,50.0150933265687,80.3950896263124,82.335761589404,50.8430463576159,81.5387096774193,87.8928571428571,85.2516129032258,31.9900662251656,24.8377483443709,31.6774193548387,33.1678571428571,33.0096774193548
TH40,2003,5133,6886414,4389.04652644997,29.0100892466684,25.5646750482209,70.9814985732107,-33.9459599934617,29.1580017089844,219.640869104303,28.9800048828125,29.4599853515625,31.2600036621094,30.7186495661736,99.1093711853028,51.8159705400468,83.9006622516556,54.3913907284768,79.1483870967742,82.15,88.1161290322581,32.4894039735099,25.3966887417219,31.7935483870968,33.2142857142857,33.2612903225806
TH40,2004,3796,7073196,4508.09177820268,10.4553690788849,18.0209903151335,56.51707840975,92.8869367799146,28.8780029296875,164.064725540578,27.839990234375,30.2300048828125,31.8300109863281,54.9566955566405,11.687056094408,60.1101274490356,81.2631578947368,48.9210526315789,83.3903225806452,87.7793103448276,85.7387096774194,32.8328947368421,25.0006578947368,32.1709677419355,32.1689655172414,34.4451612903226
TH40,2005,4207,7265044,4630.36583811345,10.7165134403175,13.3744349796047,40.2929595051516,154.059291722941,28.9139953613281,157.829917477444,29.5599914550781,29.7600036621094,31.0599914550781,3.7575338333845,33.7446742057802,107.745706558228,80.3112582781457,46.5894039735099,84.0290322580645,86.9,83.9290322580645,32.9721854304636,25.2291390728477,31.7612903225806,33.4178571428571,33.8451612903226
TH40,2006,5487,7462096,4755.95666029318,15.5126383267603,10.2958770793405,47.6115492211747,165.632664899434,28.99599609375,234.492843180895,29.4200073242188,30.3999877929688,30.7099853515625,38.5001591444015,71.7664890289306,103.925754547119,83.0086092715232,51.1092715231788,81.7290322580645,83.9214285714286,84.2677419354839,32.3139072847682,25.2423841059603,32.3967741935484,33.4714285714286,34.2903225806452
TH40,2007,5165,7664492,4884.95347355003,13.7360870189823,16.4833044227788,57.0483145754222,142.748866807324,28.9559997558594,213.077376574278,28.339990234375,30.6599975585938,30.6700073242188,10.0879763364792,35.2222080230712,157.323456764221,80.5470198675497,47.6993377483444,76.7677419354839,85.1,84.8193548387097,32.9860927152318,25.3562913907285,32.2677419354839,32.5678571428571,34.4387096774194
TH40,2008,7795,7872378,5017.44933078394,18.4748056361726,16.6873420965147,50.701338066502,130.30544563541,28.8,247.18457312882,27.860009765625,29.6499877929688,30.1199890136719,44.8336527347565,28.9286702871323,158.019479751587,80.7894736842105,47.45,79.9612903225807,84.9724137931034,84.0193548387097,32.4605263157895,24.9651315789474,32.3935483870968,31.7310344827586,33.6516129032258
TH40,2009,4857,8085902,5153.5385595921,10.1367083745216,20.2480114648966,78.7690834967528,108.419348316423,28.1619995117188,248.247076805681,29.0800109863281,29.7600036621094,30.1899963378906,13.8837090432644,73.3762187957764,160.46194601059,82.7854304635762,48.4211920529801,79.2967741935484,87.0892857142857,85.9677419354839,31.9880794701987,24.1807947019868,30.3129032258065,33.8392857142857,34.0967741935484
TH40,2010,6431,8305218,5293.31931166348,15.8176539859128,17.9448130833146,42.122697010179,118.397670036206,29.3440002441407,173.567620009184,29.3699890136719,30.2900024414063,31.5100036621094,25.3263967633247,29.2072305679322,72.7597754001619,84.5688741721854,51.923178807947,86.9967741935484,87.5107142857143,84.6129032258064,32.6185430463576,25.653642384106,31.558064516129,32.9571428571429,34.3193548387097
TH40,2011,6046,8530483,5436.89165073295,12.1249074979128,19.9031500437436,57.5300973436218,137.993318487099,27.8519958496094,294.560733186081,28.4299865722656,27.2600036621094,29.4500061035156,39.9223048686982,89.7753458023072,153.333822727203,82.7092715231788,52.0615894039735,74.4096774193548,87.6107142857143,88.2645161290323,31.6834437086093,24.4688741721854,31.4709677419355,32.9357142857143,30.7
TH40,2012,5801,8761858,5584.35818992989,6.74053274591837,13.5045108231269,57.3707256669992,136.26271333046,28.9899963378906,203.146309107542,28.9599853515625,30.2000061035156,31.1400085449219,38.2782229185105,45.5877103805542,77.0337772369384,83.3592105263158,51.2460526315789,85.7709677419355,89.5172413793103,87.2258064516129,32.8151315789474,25.5789473684211,32.2064516129032,32.751724137931,34.9870967741935
TH40,2013,6883,8999508,5735.8240917782,19.9615195772404,28.5327609737569,37.6746575897487,139.651930074993,29.5059997558594,178.638391733169,29.4399963378906,30.3699890136719,31.110009765625,13.114274263382,31.6580410003662,96.3024876117705,86.2602649006622,53.3059602649007,83.2483870967742,85.8464285714286,86.3774193548387,33.1960264900662,25.9192052980132,32.4193548387097,33.875,34.4161290322581
TH40,2014,2088,9243604,5891.39834289356,5.42251865324193,15.8786458104154,60.6033129811096,NA,27.7440063476563,128.313969490118,27.8300109863281,29.8900085449219,31.0100036621094,11.7873760461807,35.8800168037416,75.3565578460692,83.7907284768212,50.1066225165563,77.4967741935484,89.1857142857143,87.5354838709677,31.6774834437086,23.8827814569536,31.0290322580645,32.1035714285714,33.4967741935484
TH41,2000,11,502780,79.3654301499605,0,0,18.0959842823451,31.4358769959908,21.9540008544922,199.991325637325,21.4199920654297,23.6850067138672,26.5850006103516,37.5829926133154,31.1122529804706,119.372731685638,91.1427631578947,47.6157894736842,92.4677419354839,88.6103448275862,87.9709677419355,29.3914473684211,16.6644736842105,30.0645161290323,30.3413793103448,32.7870967741936
TH41,2001,255,493508,77.9018153117601,1.79004733680735,0,2.18783563387565,52.2239246644757,23.438998413086,130.846674442757,22.3000122070313,24.234994506836,28.1499877929688,1.09180788742379,90.3740644454956,32.4367235004901,92.5629139072848,45.0450331125828,93.8322580645161,85.1642857142857,90.3838709677419,30.5344370860927,17.4509933774834,30.4903225806452,32.9178571428571,31.0387096774194
TH41,2002,140,484406,76.4650355169692,0.2026309603897,0.4052619207794,51.2656329785941,18.4463830870576,23.0610046386719,77.2812672518193,22.4700103759766,24.6550079345703,27.0749908447266,9.17183368653058,11.1301425099373,41.0895099639892,93.7523178807947,44.3039735099338,94.7548387096774,93.8321428571429,87.4258064516129,29.8973509933775,16.5993377483444,27.8,31.6142857142857,33.9322580645161
TH41,2003,153,475472,75.054775059195,1.23863040507343,0.412876801691143,28.4884993166889,-7.71574046571287,22.9860015869141,176.260425209999,21.8900085449219,24.0350128173828,27.0149932861328,17.9002938121557,45.9590191841124,59.6910535693169,94.9801324503311,50.4675496688742,96.6387096774194,94.6821428571429,89.9870967741935,29.5748344370861,17.7390728476821,27.5548387096774,31.0857142857143,32.8838709677419
TH41,2004,161,466702,73.6704025256511,0.21031732678265,0.21031732678265,31.9682336709627,11.7689170695222,22.868002319336,119.075521501713,21.6800018310547,25.6800018310547,27.0100036621094,18.875183865428,4.43035348504781,87.445906996727,90.7789473684211,39.0822368421053,94.3483870967742,90.2655172413793,76.6161290322581,30.8835526315789,16.4039473684211,29.0387096774194,31.1275862068966,35.6838709677419
TH41,2005,52,458095,72.3117600631413,0,0.642808473072753,33.8545795818317,7.41153553807129,22.7519958496094,106.311612587422,23.1500030517578,24.6449981689453,26.8749938964844,1.99706479907036,29.0881457328795,71.553126513958,93.1609271523179,40.2596026490066,94.6032258064516,88.4035714285714,90.3548387096774,30.6543046357616,16.0715231788079,29.5806451612903,34.0357142857143,33.5548387096774
TH41,2006,63,449646,70.9780584056827,0.654885995262991,2.1829533175433,9.16840393368188,27.7941606161112,23.0869995117187,205.7004642135,22.9050079345703,25.6500030517578,26.6299987792969,8.86833203583955,36.0817512273789,143.679338216782,NA,NA,96.0645161290323,93.3214285714286,86.4806451612903,NA,NA,29.5806451612903,31.6,34.8645161290323
TH41,2007,20,441353,69.6689818468824,0,0.222397174666293,13.7886248293102,48.2805266670391,22.6210021972656,105.395731861761,21.3799987792969,24.6950012207031,26.9899993896485,5.43450470268725,9.1698852777481,89.1685882806778,NA,NA,94.0645161290323,93.4,82.2935483870968,NA,NA,28.6516129032258,31.0035714285714,34.9645161290323
TH41,2008,188,433213,68.3840568271507,1.58603204237878,0.226576006054111,4.30494411502811,54.1692177500663,23.0489990234375,215.09768680227,21.85,24.984994506836,27.1249938964844,28.0282160639763,28.8542041480541,130.903164148331,93.5592105263158,43.4315789473684,95.5741935483871,91.0620689655172,88.958064516129,29.8197368421053,16.7743421052632,29.3774193548387,29.851724137931,33.2387096774194
